batch,time_sec,mse,r2
78,0.002068042755126953,601.1817256001412,9.613628182936207e-05
79,0.004873991012573242,605.213760941847,0.00017724609112779177
80,0.004611015319824219,594.2979566747061,0.001143223359495238
81,0.0023500919342041016,608.7945476646911,0.0008313039555283286
82,0.004984855651855469,610.0126558640038,0.0006235925435952305
83,0.0022988319396972656,597.4328468447501,8.137434778165975e-05
84,0.004142045974731445,594.7953347064359,0.00022771764820594953
85,0.0018720626831054688,606.6313948248948,0.00027487982878504624
86,0.002463817596435547,610.7099546423962,0.00012592587749271633
87,0.005143165588378906,607.9089866516472,0.0005473780800293593
88,0.003565073013305664,601.1416271806602,4.587568593505953e-05
89,0.0018706321716308594,607.9337435255976,9.20008314727605e-05
90,0.0036427974700927734,610.0713250566898,0.00040973688100887085
91,0.0017778873443603516,595.6422004582265,0.0002455244059879069
92,0.005799770355224609,599.4308440752898,0.00015214450463441054
93,0.006285905838012695,606.2854565837383,0.0001257322831994534
94,0.003030061721801758,596.2649944948652,0.0002393948830402559
95,0.00754094123840332,598.3976378899889,0.0006271173811575048
96,0.002624034881591797,606.7545880717926,0.00038228559200226275
97,0.0031151771545410156,607.1071323385228,0.0004152212690253787
98,0.006264925003051758,592.6245230648832,0.00012636016222666857
99,0.006381034851074219,597.1284678841918,6.303385588890542e-05
100,0.004145145416259766,605.7193710683795,6.260135407387679e-06
